네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
출산/육아
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","레고프렌즈"
"2017-08-01",12
"2017-08-02",11
"2017-08-03",10
"2017-08-04",9
"2017-08-05",12
"2017-08-06",15
"2017-08-07",15
"2017-08-08",12
"2017-08-09",11
"2017-08-10",14
"2017-08-11",10
"2017-08-12",12
"2017-08-13",13
"2017-08-14",12
"2017-08-15",18
"2017-08-16",17
"2017-08-17",14
"2017-08-18",12
"2017-08-19",14
"2017-08-20",18
"2017-08-21",15
"2017-08-22",13
"2017-08-23",11
"2017-08-24",12
"2017-08-25",12
"2017-08-26",13
"2017-08-27",15
"2017-08-28",14
"2017-08-29",11
"2017-08-30",9
"2017-08-31",10
"2017-09-01",11
"2017-09-02",14
"2017-09-03",12
"2017-09-04",10
"2017-09-05",9
"2017-09-06",11
"2017-09-07",8
"2017-09-08",11
"2017-09-09",15
"2017-09-10",15
"2017-09-11",10
"2017-09-12",13
"2017-09-13",12
"2017-09-14",9
"2017-09-15",8
"2017-09-16",11
"2017-09-17",16
"2017-09-18",13
"2017-09-19",10
"2017-09-20",12
"2017-09-21",10
"2017-09-22",11
"2017-09-23",13
"2017-09-24",15
"2017-09-25",18
"2017-09-26",13
"2017-09-27",12
"2017-09-28",10
"2017-09-29",6
"2017-09-30",12
"2017-10-01",19
"2017-10-02",18
"2017-10-03",19
"2017-10-04",19
"2017-10-05",16
"2017-10-06",26
"2017-10-07",21
"2017-10-08",23
"2017-10-09",26
"2017-10-10",13
"2017-10-11",14
"2017-10-12",11
"2017-10-13",11
"2017-10-14",21
"2017-10-15",21
"2017-10-16",14
"2017-10-17",15
"2017-10-18",14
"2017-10-19",10
"2017-10-20",10
"2017-10-21",15
"2017-10-22",22
"2017-10-23",20
"2017-10-24",12
"2017-10-25",12
"2017-10-26",8
"2017-10-27",11
"2017-10-28",15
"2017-10-29",26
"2017-10-30",12
"2017-10-31",10
"2017-11-01",16
"2017-11-02",12
"2017-11-03",10
"2017-11-04",20
"2017-11-05",23
"2017-11-06",15
"2017-11-07",14
"2017-11-08",13
"2017-11-09",13
"2017-11-10",12
"2017-11-11",19
"2017-11-12",24
"2017-11-13",15
"2017-11-14",18
"2017-11-15",12
"2017-11-16",12
"2017-11-17",12
"2017-11-18",19
"2017-11-19",26
"2017-11-20",19
"2017-11-21",15
"2017-11-22",15
"2017-11-23",14
"2017-11-24",15
"2017-11-25",26
"2017-11-26",24
"2017-11-27",23
"2017-11-28",21
"2017-11-29",19
"2017-11-30",21
"2017-12-01",26
"2017-12-02",36
"2017-12-03",43
"2017-12-04",42
"2017-12-05",47
"2017-12-06",46
"2017-12-07",45
"2017-12-08",47
"2017-12-09",57
"2017-12-10",68
"2017-12-11",70
"2017-12-12",69
"2017-12-13",66
"2017-12-14",53
"2017-12-15",60
"2017-12-16",65
"2017-12-17",94
"2017-12-18",100
"2017-12-19",93
"2017-12-20",82
"2017-12-21",56
"2017-12-22",35
"2017-12-23",51
"2017-12-24",55
"2017-12-25",77
"2017-12-26",40
"2017-12-27",28
"2017-12-28",21
"2017-12-29",20
"2017-12-30",26
"2017-12-31",28
"2018-01-01",31
"2018-01-02",27
"2018-01-03",25
"2018-01-04",20
"2018-01-05",22
"2018-01-06",25
"2018-01-07",22
"2018-01-08",25
"2018-01-09",23
"2018-01-10",19
"2018-01-11",20
"2018-01-12",21
"2018-01-13",24
"2018-01-14",26
"2018-01-15",25
"2018-01-16",25
"2018-01-17",23
"2018-01-18",15
"2018-01-19",16
"2018-01-20",19
"2018-01-21",24
"2018-01-22",22
"2018-01-23",18
"2018-01-24",20
"2018-01-25",19
"2018-01-26",18
"2018-01-27",22
"2018-01-28",24
"2018-01-29",24
"2018-01-30",20
"2018-01-31",17
"2018-02-01",18
"2018-02-02",18
"2018-02-03",28
"2018-02-04",25
"2018-02-05",17
"2018-02-06",19
"2018-02-07",13
"2018-02-08",13
"2018-02-09",12
"2018-02-10",19
"2018-02-11",18
"2018-02-12",15
"2018-02-13",13
"2018-02-14",16
"2018-02-15",13
"2018-02-16",18
"2018-02-17",34
"2018-02-18",37
"2018-02-19",24
"2018-02-20",21
"2018-02-21",18
"2018-02-22",20
"2018-02-23",18
"2018-02-24",22
"2018-02-25",21
"2018-02-26",17
"2018-02-27",19
"2018-02-28",18
"2018-03-01",22
"2018-03-02",14
"2018-03-03",20
"2018-03-04",22
"2018-03-05",13
"2018-03-06",11
"2018-03-07",11
"2018-03-08",12
"2018-03-09",14
"2018-03-10",19
"2018-03-11",18
"2018-03-12",14
"2018-03-13",11
"2018-03-14",10
"2018-03-15",12
"2018-03-16",10
"2018-03-17",18
"2018-03-18",21
"2018-03-19",14
"2018-03-20",13
"2018-03-21",10
"2018-03-22",13
"2018-03-23",11
"2018-03-24",19
"2018-03-25",21
"2018-03-26",17
"2018-03-27",16
"2018-03-28",11
"2018-03-29",13
"2018-03-30",10
"2018-03-31",16
"2018-04-01",17
"2018-04-02",13
"2018-04-03",11
"2018-04-04",12
"2018-04-05",11
"2018-04-06",10
"2018-04-07",17
"2018-04-08",20
"2018-04-09",16
"2018-04-10",14
"2018-04-11",16
"2018-04-12",11
"2018-04-13",12
"2018-04-14",19
"2018-04-15",23
"2018-04-16",17
"2018-04-17",13
"2018-04-18",16
"2018-04-19",12
