네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
출산/육아
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","나이트메어롱기누스"
"2017-10-13",
"2017-10-14",
"2017-10-15",1
"2017-10-16",1
"2017-10-17",1
"2017-10-18",1
"2017-10-19",2
"2017-10-20",3
"2017-10-21",4
"2017-10-22",3
"2017-10-23",2
"2017-10-24",2
"2017-10-25",2
"2017-10-26",3
"2017-10-27",2
"2017-10-28",4
"2017-10-29",4
"2017-10-30",3
"2017-10-31",3
"2017-11-01",3
"2017-11-02",4
"2017-11-03",3
"2017-11-04",6
"2017-11-05",5
"2017-11-06",4
"2017-11-07",5
"2017-11-08",4
"2017-11-09",4
"2017-11-10",3
"2017-11-11",7
"2017-11-12",8
"2017-11-13",7
"2017-11-14",8
"2017-11-15",8
"2017-11-16",9
"2017-11-17",14
"2017-11-18",23
"2017-11-19",22
"2017-11-20",16
"2017-11-21",15
"2017-11-22",17
"2017-11-23",18
"2017-11-24",15
"2017-11-25",25
"2017-11-26",20
"2017-11-27",17
"2017-11-28",19
"2017-11-29",20
"2017-11-30",21
"2017-12-01",23
"2017-12-02",33
"2017-12-03",37
"2017-12-04",32
"2017-12-05",31
"2017-12-06",37
"2017-12-07",36
"2017-12-08",35
"2017-12-09",40
"2017-12-10",44
"2017-12-11",47
"2017-12-12",51
"2017-12-13",55
"2017-12-14",57
"2017-12-15",53
"2017-12-16",67
"2017-12-17",73
"2017-12-18",77
"2017-12-19",76
"2017-12-20",67
"2017-12-21",56
"2017-12-22",42
"2017-12-23",49
"2017-12-24",50
"2017-12-25",67
"2017-12-26",49
"2017-12-27",42
"2017-12-28",40
"2017-12-29",38
"2017-12-30",55
"2017-12-31",44
"2018-01-01",63
"2018-01-02",100
"2018-01-03",79
"2018-01-04",67
"2018-01-05",52
"2018-01-06",50
"2018-01-07",45
"2018-01-08",43
"2018-01-09",36
"2018-01-10",38
"2018-01-11",29
"2018-01-12",25
"2018-01-13",26
"2018-01-14",28
"2018-01-15",25
"2018-01-16",26
"2018-01-17",23
"2018-01-18",22
"2018-01-19",19
"2018-01-20",26
"2018-01-21",26
"2018-01-22",22
"2018-01-23",22
"2018-01-24",19
"2018-01-25",17
"2018-01-26",14
"2018-01-27",17
"2018-01-28",16
"2018-01-29",14
"2018-01-30",11
"2018-01-31",11
"2018-02-01",11
"2018-02-02",10
"2018-02-03",15
"2018-02-04",16
"2018-02-05",13
"2018-02-06",11
"2018-02-07",12
"2018-02-08",10
"2018-02-09",8
"2018-02-10",11
"2018-02-11",12
"2018-02-12",7
"2018-02-13",7
"2018-02-14",7
"2018-02-15",8
"2018-02-16",13
"2018-02-17",16
"2018-02-18",16
"2018-02-19",14
"2018-02-20",11
"2018-02-21",11
"2018-02-22",9
"2018-02-23",8
"2018-02-24",8
"2018-02-25",8
"2018-02-26",8
"2018-02-27",7
"2018-02-28",7
"2018-03-01",8
"2018-03-02",6
"2018-03-03",8
"2018-03-04",7
"2018-03-05",5
"2018-03-06",5
"2018-03-07",6
"2018-03-08",5
"2018-03-09",5
"2018-03-10",7
"2018-03-11",8
"2018-03-12",6
"2018-03-13",5
"2018-03-14",4
"2018-03-15",6
"2018-03-16",4
"2018-03-17",8
"2018-03-18",8
"2018-03-19",5
"2018-03-20",6
"2018-03-21",5
"2018-03-22",5
"2018-03-23",4
"2018-03-24",9
"2018-03-25",8
"2018-03-26",6
"2018-03-27",5
"2018-03-28",5
"2018-03-29",5
"2018-03-30",4
"2018-03-31",7
"2018-04-01",10
"2018-04-02",7
"2018-04-03",6
"2018-04-04",6
"2018-04-05",10
"2018-04-06",8
"2018-04-07",10
"2018-04-08",13
"2018-04-09",11
"2018-04-10",10
"2018-04-11",11
"2018-04-12",9
"2018-04-13",9
"2018-04-14",14
"2018-04-15",16
"2018-04-16",14
"2018-04-17",10
"2018-04-18",10
"2018-04-19",9
