네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
출산/육아
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","놀이방매트"
"2017-08-01",60
"2017-08-02",45
"2017-08-03",55
"2017-08-04",46
"2017-08-05",39
"2017-08-06",52
"2017-08-07",59
"2017-08-08",60
"2017-08-09",54
"2017-08-10",50
"2017-08-11",43
"2017-08-12",44
"2017-08-13",57
"2017-08-14",60
"2017-08-15",67
"2017-08-16",69
"2017-08-17",68
"2017-08-18",55
"2017-08-19",53
"2017-08-20",77
"2017-08-21",76
"2017-08-22",66
"2017-08-23",59
"2017-08-24",76
"2017-08-25",57
"2017-08-26",56
"2017-08-27",68
"2017-08-28",51
"2017-08-29",67
"2017-08-30",63
"2017-08-31",55
"2017-09-01",52
"2017-09-02",55
"2017-09-03",83
"2017-09-04",78
"2017-09-05",62
"2017-09-06",56
"2017-09-07",58
"2017-09-08",49
"2017-09-09",49
"2017-09-10",73
"2017-09-11",80
"2017-09-12",69
"2017-09-13",62
"2017-09-14",51
"2017-09-15",44
"2017-09-16",45
"2017-09-17",62
"2017-09-18",82
"2017-09-19",79
"2017-09-20",72
"2017-09-21",62
"2017-09-22",63
"2017-09-23",65
"2017-09-24",62
"2017-09-25",71
"2017-09-26",62
"2017-09-27",79
"2017-09-28",58
"2017-09-29",48
"2017-09-30",52
"2017-10-01",61
"2017-10-02",51
"2017-10-03",48
"2017-10-04",35
"2017-10-05",63
"2017-10-06",71
"2017-10-07",83
"2017-10-08",91
"2017-10-09",93
"2017-10-10",96
"2017-10-11",88
"2017-10-12",100
"2017-10-13",73
"2017-10-14",68
"2017-10-15",87
"2017-10-16",93
"2017-10-17",89
"2017-10-18",85
"2017-10-19",64
"2017-10-20",63
"2017-10-21",63
"2017-10-22",91
"2017-10-23",87
"2017-10-24",78
"2017-10-25",82
"2017-10-26",74
"2017-10-27",58
"2017-10-28",56
"2017-10-29",80
"2017-10-30",83
"2017-10-31",63
"2017-11-01",68
"2017-11-02",75
"2017-11-03",62
"2017-11-04",67
"2017-11-05",86
"2017-11-06",88
"2017-11-07",81
"2017-11-08",71
"2017-11-09",60
"2017-11-10",54
"2017-11-11",59
"2017-11-12",89
"2017-11-13",84
"2017-11-14",72
"2017-11-15",62
"2017-11-16",70
"2017-11-17",53
"2017-11-18",55
"2017-11-19",82
"2017-11-20",87
"2017-11-21",72
"2017-11-22",67
"2017-11-23",71
"2017-11-24",57
"2017-11-25",55
"2017-11-26",70
"2017-11-27",82
"2017-11-28",68
"2017-11-29",62
"2017-11-30",56
"2017-12-01",61
"2017-12-02",61
"2017-12-03",83
"2017-12-04",71
"2017-12-05",65
"2017-12-06",66
"2017-12-07",66
"2017-12-08",48
"2017-12-09",54
"2017-12-10",70
"2017-12-11",85
"2017-12-12",59
"2017-12-13",59
"2017-12-14",62
"2017-12-15",51
"2017-12-16",54
"2017-12-17",61
"2017-12-18",67
"2017-12-19",54
"2017-12-20",56
"2017-12-21",57
"2017-12-22",42
"2017-12-23",49
"2017-12-24",60
"2017-12-25",66
"2017-12-26",80
"2017-12-27",90
"2017-12-28",62
"2017-12-29",47
"2017-12-30",50
"2017-12-31",52
"2018-01-01",73
"2018-01-02",87
"2018-01-03",67
"2018-01-04",64
"2018-01-05",52
"2018-01-06",66
"2018-01-07",85
"2018-01-08",79
"2018-01-09",73
"2018-01-10",71
"2018-01-11",61
"2018-01-12",55
"2018-01-13",62
"2018-01-14",83
"2018-01-15",82
"2018-01-16",70
"2018-01-17",65
"2018-01-18",65
"2018-01-19",54
"2018-01-20",68
"2018-01-21",75
"2018-01-22",78
"2018-01-23",81
"2018-01-24",72
"2018-01-25",64
"2018-01-26",61
"2018-01-27",66
"2018-01-28",75
"2018-01-29",76
"2018-01-30",75
"2018-01-31",65
"2018-02-01",71
"2018-02-02",70
"2018-02-03",69
"2018-02-04",87
"2018-02-05",99
"2018-02-06",92
"2018-02-07",74
"2018-02-08",66
"2018-02-09",50
"2018-02-10",62
"2018-02-11",89
"2018-02-12",74
"2018-02-13",61
"2018-02-14",45
"2018-02-15",41
"2018-02-16",34
"2018-02-17",64
"2018-02-18",91
"2018-02-19",88
"2018-02-20",70
"2018-02-21",79
"2018-02-22",68
"2018-02-23",69
"2018-02-24",72
"2018-02-25",83
"2018-02-26",86
"2018-02-27",87
"2018-02-28",85
"2018-03-01",100
"2018-03-02",71
"2018-03-03",77
"2018-03-04",95
"2018-03-05",81
"2018-03-06",74
"2018-03-07",79
"2018-03-08",80
"2018-03-09",61
"2018-03-10",74
"2018-03-11",82
"2018-03-12",87
"2018-03-13",69
"2018-03-14",69
"2018-03-15",77
"2018-03-16",80
"2018-03-17",58
"2018-03-18",79
"2018-03-19",85
"2018-03-20",88
"2018-03-21",81
"2018-03-22",78
"2018-03-23",71
"2018-03-24",60
"2018-03-25",88
"2018-03-26",86
"2018-03-27",85
"2018-03-28",81
"2018-03-29",78
"2018-03-30",58
"2018-03-31",62
"2018-04-01",89
"2018-04-02",79
"2018-04-03",64
"2018-04-04",72
"2018-04-05",64
"2018-04-06",56
"2018-04-07",67
"2018-04-08",70
"2018-04-09",71
"2018-04-10",67
"2018-04-11",68
"2018-04-12",49
"2018-04-13",54
"2018-04-14",63
"2018-04-15",80
"2018-04-16",72
"2018-04-17",66
"2018-04-18",69
"2018-04-19",60
