네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
출산/육아
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","레퀴엠스프리건"
"2017-11-17",
"2017-11-18",1
"2017-11-19",
"2017-11-20",
"2017-11-21",1
"2017-11-22",1
"2017-11-23",1
"2017-11-24",2
"2017-11-25",2
"2017-11-26",2
"2017-11-27",3
"2017-11-28",3
"2017-11-29",2
"2017-11-30",3
"2017-12-01",3
"2017-12-02",6
"2017-12-03",4
"2017-12-04",4
"2017-12-05",6
"2017-12-06",6
"2017-12-07",8
"2017-12-08",7
"2017-12-09",9
"2017-12-10",10
"2017-12-11",8
"2017-12-12",8
"2017-12-13",10
"2017-12-14",10
"2017-12-15",9
"2017-12-16",15
"2017-12-17",14
"2017-12-18",13
"2017-12-19",16
"2017-12-20",18
"2017-12-21",17
"2017-12-22",18
"2017-12-23",21
"2017-12-24",23
"2017-12-25",23
"2017-12-26",16
"2017-12-27",17
"2017-12-28",24
"2017-12-29",31
"2017-12-30",46
"2017-12-31",36
"2018-01-01",37
"2018-01-02",33
"2018-01-03",31
"2018-01-04",28
"2018-01-05",25
"2018-01-06",27
"2018-01-07",26
"2018-01-08",25
"2018-01-09",25
"2018-01-10",23
"2018-01-11",23
"2018-01-12",24
"2018-01-13",27
"2018-01-14",26
"2018-01-15",24
"2018-01-16",23
"2018-01-17",25
"2018-01-18",23
"2018-01-19",21
"2018-01-20",24
"2018-01-21",25
"2018-01-22",23
"2018-01-23",22
"2018-01-24",23
"2018-01-25",23
"2018-01-26",20
"2018-01-27",25
"2018-01-28",26
"2018-01-29",23
"2018-01-30",23
"2018-01-31",25
"2018-02-01",25
"2018-02-02",23
"2018-02-03",37
"2018-02-04",36
"2018-02-05",32
"2018-02-06",28
"2018-02-07",42
"2018-02-08",49
"2018-02-09",41
"2018-02-10",47
"2018-02-11",40
"2018-02-12",31
"2018-02-13",27
"2018-02-14",28
"2018-02-15",34
"2018-02-16",51
"2018-02-17",46
"2018-02-18",40
"2018-02-19",49
"2018-02-20",41
"2018-02-21",40
"2018-02-22",33
"2018-02-23",31
"2018-02-24",40
"2018-02-25",35
"2018-02-26",45
"2018-02-27",48
"2018-02-28",78
"2018-03-01",100
"2018-03-02",51
"2018-03-03",56
"2018-03-04",48
"2018-03-05",44
"2018-03-06",40
"2018-03-07",40
"2018-03-08",38
"2018-03-09",29
"2018-03-10",38
"2018-03-11",47
"2018-03-12",34
"2018-03-13",26
"2018-03-14",24
"2018-03-15",17
"2018-03-16",14
"2018-03-17",21
"2018-03-18",17
"2018-03-19",13
"2018-03-20",11
"2018-03-21",12
"2018-03-22",10
"2018-03-23",9
"2018-03-24",16
"2018-03-25",17
"2018-03-26",13
"2018-03-27",9
"2018-03-28",9
"2018-03-29",8
"2018-03-30",8
"2018-03-31",10
"2018-04-01",11
"2018-04-02",10
"2018-04-03",11
"2018-04-04",11
"2018-04-05",9
"2018-04-06",8
"2018-04-07",11
"2018-04-08",10
"2018-04-09",10
"2018-04-10",8
"2018-04-11",7
"2018-04-12",7
"2018-04-13",9
"2018-04-14",14
"2018-04-15",14
"2018-04-16",14
"2018-04-17",12
"2018-04-18",13
"2018-04-19",11
