네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
출산/육아
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","장난감정리함"
"2017-08-01",39
"2017-08-02",40
"2017-08-03",39
"2017-08-04",38
"2017-08-05",44
"2017-08-06",52
"2017-08-07",54
"2017-08-08",49
"2017-08-09",52
"2017-08-10",47
"2017-08-11",42
"2017-08-12",41
"2017-08-13",48
"2017-08-14",50
"2017-08-15",54
"2017-08-16",53
"2017-08-17",45
"2017-08-18",40
"2017-08-19",33
"2017-08-20",53
"2017-08-21",59
"2017-08-22",42
"2017-08-23",43
"2017-08-24",39
"2017-08-25",32
"2017-08-26",33
"2017-08-27",47
"2017-08-28",41
"2017-08-29",45
"2017-08-30",42
"2017-08-31",37
"2017-09-01",40
"2017-09-02",37
"2017-09-03",41
"2017-09-04",42
"2017-09-05",46
"2017-09-06",37
"2017-09-07",31
"2017-09-08",34
"2017-09-09",34
"2017-09-10",47
"2017-09-11",45
"2017-09-12",40
"2017-09-13",32
"2017-09-14",31
"2017-09-15",26
"2017-09-16",27
"2017-09-17",40
"2017-09-18",41
"2017-09-19",38
"2017-09-20",38
"2017-09-21",36
"2017-09-22",29
"2017-09-23",26
"2017-09-24",40
"2017-09-25",40
"2017-09-26",43
"2017-09-27",41
"2017-09-28",35
"2017-09-29",22
"2017-09-30",31
"2017-10-01",41
"2017-10-02",30
"2017-10-03",24
"2017-10-04",19
"2017-10-05",33
"2017-10-06",50
"2017-10-07",44
"2017-10-08",59
"2017-10-09",78
"2017-10-10",62
"2017-10-11",54
"2017-10-12",50
"2017-10-13",43
"2017-10-14",42
"2017-10-15",55
"2017-10-16",54
"2017-10-17",56
"2017-10-18",57
"2017-10-19",46
"2017-10-20",45
"2017-10-21",47
"2017-10-22",63
"2017-10-23",64
"2017-10-24",57
"2017-10-25",48
"2017-10-26",54
"2017-10-27",51
"2017-10-28",48
"2017-10-29",69
"2017-10-30",67
"2017-10-31",57
"2017-11-01",53
"2017-11-02",59
"2017-11-03",73
"2017-11-04",60
"2017-11-05",72
"2017-11-06",70
"2017-11-07",67
"2017-11-08",58
"2017-11-09",57
"2017-11-10",43
"2017-11-11",45
"2017-11-12",73
"2017-11-13",69
"2017-11-14",56
"2017-11-15",50
"2017-11-16",49
"2017-11-17",46
"2017-11-18",44
"2017-11-19",56
"2017-11-20",61
"2017-11-21",55
"2017-11-22",52
"2017-11-23",59
"2017-11-24",52
"2017-11-25",42
"2017-11-26",63
"2017-11-27",69
"2017-11-28",56
"2017-11-29",52
"2017-11-30",59
"2017-12-01",50
"2017-12-02",45
"2017-12-03",67
"2017-12-04",67
"2017-12-05",70
"2017-12-06",59
"2017-12-07",69
"2017-12-08",57
"2017-12-09",61
"2017-12-10",71
"2017-12-11",75
"2017-12-12",65
"2017-12-13",64
"2017-12-14",54
"2017-12-15",60
"2017-12-16",56
"2017-12-17",77
"2017-12-18",65
"2017-12-19",62
"2017-12-20",63
"2017-12-21",55
"2017-12-22",56
"2017-12-23",57
"2017-12-24",59
"2017-12-25",82
"2017-12-26",76
"2017-12-27",62
"2017-12-28",63
"2017-12-29",58
"2017-12-30",59
"2017-12-31",50
"2018-01-01",70
"2018-01-02",80
"2018-01-03",75
"2018-01-04",87
"2018-01-05",74
"2018-01-06",70
"2018-01-07",97
"2018-01-08",91
"2018-01-09",91
"2018-01-10",74
"2018-01-11",79
"2018-01-12",69
"2018-01-13",59
"2018-01-14",93
"2018-01-15",82
"2018-01-16",71
"2018-01-17",82
"2018-01-18",76
"2018-01-19",52
"2018-01-20",60
"2018-01-21",78
"2018-01-22",75
"2018-01-23",69
"2018-01-24",73
"2018-01-25",65
"2018-01-26",64
"2018-01-27",59
"2018-01-28",85
"2018-01-29",78
"2018-01-30",73
"2018-01-31",76
"2018-02-01",76
"2018-02-02",57
"2018-02-03",61
"2018-02-04",84
"2018-02-05",80
"2018-02-06",82
"2018-02-07",70
"2018-02-08",65
"2018-02-09",53
"2018-02-10",70
"2018-02-11",74
"2018-02-12",61
"2018-02-13",52
"2018-02-14",49
"2018-02-15",39
"2018-02-16",33
"2018-02-17",55
"2018-02-18",87
"2018-02-19",87
"2018-02-20",80
"2018-02-21",70
"2018-02-22",79
"2018-02-23",60
"2018-02-24",72
"2018-02-25",88
"2018-02-26",97
"2018-02-27",87
"2018-02-28",80
"2018-03-01",94
"2018-03-02",80
"2018-03-03",77
"2018-03-04",97
"2018-03-05",100
"2018-03-06",89
"2018-03-07",80
"2018-03-08",83
"2018-03-09",64
"2018-03-10",70
"2018-03-11",82
"2018-03-12",86
"2018-03-13",85
"2018-03-14",69
"2018-03-15",70
"2018-03-16",57
"2018-03-17",61
"2018-03-18",80
"2018-03-19",83
"2018-03-20",77
"2018-03-21",72
"2018-03-22",61
"2018-03-23",60
"2018-03-24",61
"2018-03-25",86
"2018-03-26",91
"2018-03-27",68
"2018-03-28",66
"2018-03-29",66
"2018-03-30",61
"2018-03-31",50
"2018-04-01",69
"2018-04-02",74
"2018-04-03",65
"2018-04-04",63
"2018-04-05",61
"2018-04-06",49
"2018-04-07",46
"2018-04-08",82
"2018-04-09",59
"2018-04-10",61
"2018-04-11",61
"2018-04-12",59
"2018-04-13",45
"2018-04-14",51
"2018-04-15",75
"2018-04-16",70
"2018-04-17",66
"2018-04-18",63
"2018-04-19",48
