네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
출산/육아
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","나이키다이나모키즈"
"2017-08-01",7
"2017-08-02",7
"2017-08-03",6
"2017-08-04",4
"2017-08-05",6
"2017-08-06",9
"2017-08-07",7
"2017-08-08",8
"2017-08-09",8
"2017-08-10",11
"2017-08-11",7
"2017-08-12",6
"2017-08-13",12
"2017-08-14",14
"2017-08-15",11
"2017-08-16",13
"2017-08-17",16
"2017-08-18",14
"2017-08-19",13
"2017-08-20",18
"2017-08-21",15
"2017-08-22",17
"2017-08-23",18
"2017-08-24",14
"2017-08-25",14
"2017-08-26",21
"2017-08-27",22
"2017-08-28",20
"2017-08-29",29
"2017-08-30",40
"2017-08-31",41
"2017-09-01",30
"2017-09-02",29
"2017-09-03",49
"2017-09-04",38
"2017-09-05",36
"2017-09-06",41
"2017-09-07",33
"2017-09-08",37
"2017-09-09",41
"2017-09-10",42
"2017-09-11",36
"2017-09-12",38
"2017-09-13",33
"2017-09-14",37
"2017-09-15",31
"2017-09-16",38
"2017-09-17",50
"2017-09-18",41
"2017-09-19",34
"2017-09-20",46
"2017-09-21",34
"2017-09-22",38
"2017-09-23",60
"2017-09-24",47
"2017-09-25",48
"2017-09-26",43
"2017-09-27",38
"2017-09-28",31
"2017-09-29",29
"2017-09-30",40
"2017-10-01",36
"2017-10-02",33
"2017-10-03",27
"2017-10-04",29
"2017-10-05",36
"2017-10-06",50
"2017-10-07",50
"2017-10-08",52
"2017-10-09",60
"2017-10-10",57
"2017-10-11",47
"2017-10-12",45
"2017-10-13",38
"2017-10-14",40
"2017-10-15",50
"2017-10-16",46
"2017-10-17",49
"2017-10-18",47
"2017-10-19",34
"2017-10-20",35
"2017-10-21",40
"2017-10-22",43
"2017-10-23",50
"2017-10-24",47
"2017-10-25",39
"2017-10-26",31
"2017-10-27",34
"2017-10-28",33
"2017-10-29",46
"2017-10-30",42
"2017-10-31",38
"2017-11-01",33
"2017-11-02",35
"2017-11-03",29
"2017-11-04",29
"2017-11-05",36
"2017-11-06",38
"2017-11-07",35
"2017-11-08",36
"2017-11-09",35
"2017-11-10",28
"2017-11-11",29
"2017-11-12",35
"2017-11-13",32
"2017-11-14",35
"2017-11-15",28
"2017-11-16",26
"2017-11-17",24
"2017-11-18",26
"2017-11-19",27
"2017-11-20",33
"2017-11-21",23
"2017-11-22",24
"2017-11-23",22
"2017-11-24",20
"2017-11-25",24
"2017-11-26",30
"2017-11-27",28
"2017-11-28",29
"2017-11-29",29
"2017-11-30",30
"2017-12-01",14
"2017-12-02",18
"2017-12-03",26
"2017-12-04",24
"2017-12-05",19
"2017-12-06",17
"2017-12-07",17
"2017-12-08",16
"2017-12-09",18
"2017-12-10",23
"2017-12-11",26
"2017-12-12",17
"2017-12-13",16
"2017-12-14",14
"2017-12-15",14
"2017-12-16",18
"2017-12-17",22
"2017-12-18",20
"2017-12-19",14
"2017-12-20",16
"2017-12-21",10
"2017-12-22",17
"2017-12-23",21
"2017-12-24",21
"2017-12-25",27
"2017-12-26",20
"2017-12-27",22
"2017-12-28",18
"2017-12-29",18
"2017-12-30",19
"2017-12-31",20
"2018-01-01",24
"2018-01-02",30
"2018-01-03",38
"2018-01-04",23
"2018-01-05",19
"2018-01-06",21
"2018-01-07",32
"2018-01-08",15
"2018-01-09",24
"2018-01-10",17
"2018-01-11",15
"2018-01-12",23
"2018-01-13",14
"2018-01-14",25
"2018-01-15",25
"2018-01-16",22
"2018-01-17",17
"2018-01-18",19
"2018-01-19",19
"2018-01-20",32
"2018-01-21",38
"2018-01-22",26
"2018-01-23",22
"2018-01-24",26
"2018-01-25",24
"2018-01-26",14
"2018-01-27",20
"2018-01-28",26
"2018-01-29",25
"2018-01-30",22
"2018-01-31",24
"2018-02-01",24
"2018-02-02",24
"2018-02-03",27
"2018-02-04",35
"2018-02-05",23
"2018-02-06",23
"2018-02-07",35
"2018-02-08",27
"2018-02-09",27
"2018-02-10",42
"2018-02-11",45
"2018-02-12",32
"2018-02-13",26
"2018-02-14",27
"2018-02-15",25
"2018-02-16",24
"2018-02-17",45
"2018-02-18",57
"2018-02-19",68
"2018-02-20",47
"2018-02-21",49
"2018-02-22",53
"2018-02-23",42
"2018-02-24",58
"2018-02-25",85
"2018-02-26",72
"2018-02-27",61
"2018-02-28",46
"2018-03-01",83
"2018-03-02",65
"2018-03-03",81
"2018-03-04",100
"2018-03-05",87
"2018-03-06",60
"2018-03-07",73
"2018-03-08",54
"2018-03-09",48
"2018-03-10",69
"2018-03-11",75
"2018-03-12",68
"2018-03-13",62
"2018-03-14",60
"2018-03-15",49
"2018-03-16",37
"2018-03-17",50
"2018-03-18",64
"2018-03-19",73
"2018-03-20",68
"2018-03-21",51
"2018-03-22",49
"2018-03-23",42
"2018-03-24",52
"2018-03-25",48
"2018-03-26",48
"2018-03-27",44
"2018-03-28",48
"2018-03-29",43
"2018-03-30",35
"2018-03-31",47
"2018-04-01",56
"2018-04-02",49
"2018-04-03",60
"2018-04-04",45
"2018-04-05",53
"2018-04-06",40
"2018-04-07",38
"2018-04-08",47
"2018-04-09",43
"2018-04-10",45
"2018-04-11",44
"2018-04-12",31
"2018-04-13",25
"2018-04-14",32
"2018-04-15",47
"2018-04-16",42
"2018-04-17",41
"2018-04-18",34
"2018-04-19",37
