네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
출산/육아
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","맥시멈가루다"
"2017-08-02",
"2017-08-03",
"2017-08-05",
"2017-08-06",
"2017-08-07",
"2017-08-08",
"2017-08-09",
"2017-08-10",
"2017-08-11",
"2017-08-12",
"2017-08-13",
"2017-08-14",
"2017-08-15",
"2017-08-16",
"2017-08-17",
"2017-08-18",
"2017-08-19",
"2017-08-20",1
"2017-08-21",
"2017-08-22",
"2017-08-23",
"2017-08-24",
"2017-08-25",
"2017-08-26",
"2017-08-27",1
"2017-08-28",1
"2017-08-29",
"2017-08-30",
"2017-08-31",
"2017-09-01",1
"2017-09-02",1
"2017-09-03",
"2017-09-04",
"2017-09-05",
"2017-09-06",1
"2017-09-07",
"2017-09-08",
"2017-09-09",1
"2017-09-10",
"2017-09-11",
"2017-09-12",1
"2017-09-13",
"2017-09-14",
"2017-09-15",
"2017-09-16",1
"2017-09-17",
"2017-09-18",1
"2017-09-19",1
"2017-09-20",1
"2017-09-21",1
"2017-09-22",1
"2017-09-23",1
"2017-09-24",1
"2017-09-25",1
"2017-09-26",1
"2017-09-27",1
"2017-09-28",1
"2017-09-29",1
"2017-09-30",3
"2017-10-01",3
"2017-10-02",4
"2017-10-03",3
"2017-10-04",5
"2017-10-05",4
"2017-10-06",4
"2017-10-07",6
"2017-10-08",6
"2017-10-09",6
"2017-10-10",10
"2017-10-11",9
"2017-10-12",6
"2017-10-13",5
"2017-10-14",9
"2017-10-15",10
"2017-10-16",7
"2017-10-17",9
"2017-10-18",8
"2017-10-19",8
"2017-10-20",10
"2017-10-21",13
"2017-10-22",10
"2017-10-23",10
"2017-10-24",15
"2017-10-25",12
"2017-10-26",4
"2017-10-27",6
"2017-10-28",12
"2017-10-29",13
"2017-10-30",11
"2017-10-31",13
"2017-11-01",13
"2017-11-02",12
"2017-11-03",20
"2017-11-04",38
"2017-11-05",52
"2017-11-06",37
"2017-11-07",35
"2017-11-08",35
"2017-11-09",38
"2017-11-10",34
"2017-11-11",54
"2017-11-12",63
"2017-11-13",43
"2017-11-14",35
"2017-11-15",34
"2017-11-16",29
"2017-11-17",30
"2017-11-18",48
"2017-11-19",44
"2017-11-20",35
"2017-11-21",32
"2017-11-22",32
"2017-11-23",30
"2017-11-24",29
"2017-11-25",50
"2017-11-26",49
"2017-11-27",36
"2017-11-28",35
"2017-11-29",38
"2017-11-30",30
"2017-12-01",33
"2017-12-02",50
"2017-12-03",55
"2017-12-04",63
"2017-12-05",63
"2017-12-06",46
"2017-12-07",48
"2017-12-08",41
"2017-12-09",53
"2017-12-10",57
"2017-12-11",60
"2017-12-12",51
"2017-12-13",47
"2017-12-14",70
"2017-12-15",65
"2017-12-16",80
"2017-12-17",93
"2017-12-18",100
"2017-12-19",88
"2017-12-20",81
"2017-12-21",52
"2017-12-22",42
"2017-12-23",55
"2017-12-24",57
"2017-12-25",68
"2017-12-26",34
"2017-12-27",33
"2017-12-28",30
"2017-12-29",30
"2017-12-30",37
"2017-12-31",36
"2018-01-01",37
"2018-01-02",31
"2018-01-03",25
"2018-01-04",23
"2018-01-05",28
"2018-01-06",32
"2018-01-07",32
"2018-01-08",26
"2018-01-09",25
"2018-01-10",21
"2018-01-11",24
"2018-01-12",25
"2018-01-13",32
"2018-01-14",30
"2018-01-15",31
"2018-01-16",25
"2018-01-17",25
"2018-01-18",26
"2018-01-19",23
"2018-01-20",27
"2018-01-21",28
"2018-01-22",27
"2018-01-23",28
"2018-01-24",28
"2018-01-25",23
"2018-01-26",22
"2018-01-27",28
"2018-01-28",33
"2018-01-29",22
"2018-01-30",23
"2018-01-31",25
"2018-02-01",21
"2018-02-02",22
"2018-02-03",32
"2018-02-04",33
"2018-02-05",25
"2018-02-06",22
"2018-02-07",24
"2018-02-08",19
"2018-02-09",17
"2018-02-10",24
"2018-02-11",22
"2018-02-12",17
"2018-02-13",16
"2018-02-14",18
"2018-02-15",21
"2018-02-16",29
"2018-02-17",32
"2018-02-18",34
"2018-02-19",21
"2018-02-20",18
"2018-02-21",15
"2018-02-22",16
"2018-02-23",14
"2018-02-24",19
"2018-02-25",18
"2018-02-26",17
"2018-02-27",21
"2018-02-28",20
"2018-03-01",29
"2018-03-02",17
"2018-03-03",17
"2018-03-04",19
"2018-03-05",15
"2018-03-06",16
"2018-03-07",16
"2018-03-08",21
"2018-03-09",15
"2018-03-10",24
"2018-03-11",20
"2018-03-12",14
"2018-03-13",13
"2018-03-14",12
"2018-03-15",14
"2018-03-16",13
"2018-03-17",20
"2018-03-18",23
"2018-03-19",15
"2018-03-20",15
"2018-03-21",13
"2018-03-22",16
"2018-03-23",14
"2018-03-24",22
"2018-03-25",21
"2018-03-26",14
"2018-03-27",13
"2018-03-28",14
"2018-03-29",14
"2018-03-30",14
"2018-03-31",19
"2018-04-01",19
"2018-04-02",13
"2018-04-03",11
"2018-04-04",14
"2018-04-05",12
"2018-04-06",11
"2018-04-07",17
"2018-04-08",19
"2018-04-09",17
"2018-04-10",14
"2018-04-11",15
"2018-04-12",14
"2018-04-13",12
"2018-04-14",18
"2018-04-15",23
"2018-04-16",18
"2018-04-17",19
"2018-04-18",18
"2018-04-19",15
