네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
출산/육아
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","공갈젖꼭지"
"2017-08-01",50
"2017-08-02",46
"2017-08-03",54
"2017-08-04",34
"2017-08-05",31
"2017-08-06",38
"2017-08-07",37
"2017-08-08",42
"2017-08-09",45
"2017-08-10",45
"2017-08-11",42
"2017-08-12",31
"2017-08-13",35
"2017-08-14",45
"2017-08-15",47
"2017-08-16",41
"2017-08-17",44
"2017-08-18",43
"2017-08-19",30
"2017-08-20",45
"2017-08-21",39
"2017-08-22",41
"2017-08-23",43
"2017-08-24",39
"2017-08-25",32
"2017-08-26",28
"2017-08-27",39
"2017-08-28",35
"2017-08-29",38
"2017-08-30",36
"2017-08-31",41
"2017-09-01",36
"2017-09-02",29
"2017-09-03",37
"2017-09-04",40
"2017-09-05",37
"2017-09-06",38
"2017-09-07",38
"2017-09-08",41
"2017-09-09",23
"2017-09-10",34
"2017-09-11",43
"2017-09-12",34
"2017-09-13",39
"2017-09-14",38
"2017-09-15",39
"2017-09-16",27
"2017-09-17",40
"2017-09-18",42
"2017-09-19",48
"2017-09-20",46
"2017-09-21",40
"2017-09-22",37
"2017-09-23",24
"2017-09-24",39
"2017-09-25",49
"2017-09-26",58
"2017-09-27",58
"2017-09-28",51
"2017-09-29",38
"2017-09-30",33
"2017-10-01",35
"2017-10-02",35
"2017-10-03",28
"2017-10-04",31
"2017-10-05",38
"2017-10-06",56
"2017-10-07",42
"2017-10-08",59
"2017-10-09",70
"2017-10-10",67
"2017-10-11",58
"2017-10-12",64
"2017-10-13",51
"2017-10-14",41
"2017-10-15",58
"2017-10-16",65
"2017-10-17",66
"2017-10-18",58
"2017-10-19",59
"2017-10-20",50
"2017-10-21",37
"2017-10-22",50
"2017-10-23",50
"2017-10-24",54
"2017-10-25",49
"2017-10-26",46
"2017-10-27",47
"2017-10-28",34
"2017-10-29",47
"2017-10-30",52
"2017-10-31",39
"2017-11-01",52
"2017-11-02",42
"2017-11-03",43
"2017-11-04",36
"2017-11-05",54
"2017-11-06",56
"2017-11-07",68
"2017-11-08",72
"2017-11-09",64
"2017-11-10",52
"2017-11-11",35
"2017-11-12",51
"2017-11-13",58
"2017-11-14",51
"2017-11-15",58
"2017-11-16",53
"2017-11-17",49
"2017-11-18",39
"2017-11-19",46
"2017-11-20",49
"2017-11-21",40
"2017-11-22",54
"2017-11-23",49
"2017-11-24",41
"2017-11-25",38
"2017-11-26",53
"2017-11-27",51
"2017-11-28",44
"2017-11-29",44
"2017-11-30",44
"2017-12-01",39
"2017-12-02",32
"2017-12-03",47
"2017-12-04",46
"2017-12-05",51
"2017-12-06",51
"2017-12-07",49
"2017-12-08",46
"2017-12-09",49
"2017-12-10",60
"2017-12-11",64
"2017-12-12",61
"2017-12-13",68
"2017-12-14",64
"2017-12-15",44
"2017-12-16",36
"2017-12-17",54
"2017-12-18",63
"2017-12-19",61
"2017-12-20",69
"2017-12-21",65
"2017-12-22",47
"2017-12-23",43
"2017-12-24",41
"2017-12-25",56
"2017-12-26",87
"2017-12-27",79
"2017-12-28",67
"2017-12-29",47
"2017-12-30",46
"2017-12-31",47
"2018-01-01",43
"2018-01-02",73
"2018-01-03",60
"2018-01-04",70
"2018-01-05",60
"2018-01-06",48
"2018-01-07",60
"2018-01-08",70
"2018-01-09",65
"2018-01-10",67
"2018-01-11",71
"2018-01-12",55
"2018-01-13",44
"2018-01-14",55
"2018-01-15",73
"2018-01-16",66
"2018-01-17",72
"2018-01-18",67
"2018-01-19",57
"2018-01-20",61
"2018-01-21",74
"2018-01-22",77
"2018-01-23",72
"2018-01-24",66
"2018-01-25",71
"2018-01-26",49
"2018-01-27",35
"2018-01-28",63
"2018-01-29",80
"2018-01-30",70
"2018-01-31",65
"2018-02-01",71
"2018-02-02",56
"2018-02-03",48
"2018-02-04",62
"2018-02-05",67
"2018-02-06",74
"2018-02-07",78
"2018-02-08",68
"2018-02-09",54
"2018-02-10",40
"2018-02-11",47
"2018-02-12",56
"2018-02-13",40
"2018-02-14",35
"2018-02-15",25
"2018-02-16",35
"2018-02-17",40
"2018-02-18",80
"2018-02-19",100
"2018-02-20",80
"2018-02-21",84
"2018-02-22",74
"2018-02-23",57
"2018-02-24",73
"2018-02-25",72
"2018-02-26",78
"2018-02-27",81
"2018-02-28",83
"2018-03-01",88
"2018-03-02",82
"2018-03-03",54
"2018-03-04",74
"2018-03-05",80
"2018-03-06",86
"2018-03-07",83
"2018-03-08",74
"2018-03-09",68
"2018-03-10",47
"2018-03-11",62
"2018-03-12",66
"2018-03-13",78
"2018-03-14",90
"2018-03-15",72
"2018-03-16",67
"2018-03-17",59
"2018-03-18",57
"2018-03-19",78
"2018-03-20",74
"2018-03-21",89
"2018-03-22",65
"2018-03-23",61
"2018-03-24",49
"2018-03-25",63
"2018-03-26",75
"2018-03-27",74
"2018-03-28",66
"2018-03-29",68
"2018-03-30",57
"2018-03-31",51
"2018-04-01",64
"2018-04-02",71
"2018-04-03",68
"2018-04-04",72
"2018-04-05",66
"2018-04-06",57
"2018-04-07",50
"2018-04-08",67
"2018-04-09",76
"2018-04-10",72
"2018-04-11",72
"2018-04-12",67
"2018-04-13",60
"2018-04-14",38
"2018-04-15",58
"2018-04-16",87
"2018-04-17",79
"2018-04-18",77
"2018-04-19",64
