네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
출산/육아
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","아디다스키즈운동화"
"2017-08-01",18
"2017-08-02",32
"2017-08-03",10
"2017-08-04",5
"2017-08-05",5
"2017-08-06",9
"2017-08-07",23
"2017-08-08",29
"2017-08-09",25
"2017-08-10",31
"2017-08-11",28
"2017-08-12",36
"2017-08-13",44
"2017-08-14",57
"2017-08-15",20
"2017-08-16",29
"2017-08-17",21
"2017-08-18",24
"2017-08-19",14
"2017-08-20",21
"2017-08-21",23
"2017-08-22",24
"2017-08-23",25
"2017-08-24",26
"2017-08-25",29
"2017-08-26",27
"2017-08-27",39
"2017-08-28",33
"2017-08-29",57
"2017-08-30",64
"2017-08-31",64
"2017-09-01",43
"2017-09-02",47
"2017-09-03",72
"2017-09-04",59
"2017-09-05",69
"2017-09-06",65
"2017-09-07",78
"2017-09-08",72
"2017-09-09",71
"2017-09-10",76
"2017-09-11",61
"2017-09-12",56
"2017-09-13",52
"2017-09-14",57
"2017-09-15",64
"2017-09-16",58
"2017-09-17",100
"2017-09-18",73
"2017-09-19",70
"2017-09-20",50
"2017-09-21",69
"2017-09-22",48
"2017-09-23",52
"2017-09-24",55
"2017-09-25",57
"2017-09-26",63
"2017-09-27",65
"2017-09-28",55
"2017-09-29",45
"2017-09-30",58
"2017-10-01",45
"2017-10-02",36
"2017-10-03",37
"2017-10-04",30
"2017-10-05",37
"2017-10-06",47
"2017-10-07",49
"2017-10-08",71
"2017-10-09",81
"2017-10-10",68
"2017-10-11",53
"2017-10-12",68
"2017-10-13",53
"2017-10-14",50
"2017-10-15",73
"2017-10-16",67
"2017-10-17",57
"2017-10-18",60
"2017-10-19",44
"2017-10-20",42
"2017-10-21",48
"2017-10-22",60
"2017-10-23",63
"2017-10-24",56
"2017-10-25",61
"2017-10-26",53
"2017-10-27",38
"2017-10-28",49
"2017-10-29",54
"2017-10-30",53
"2017-10-31",47
"2017-11-01",51
"2017-11-02",41
"2017-11-03",48
"2017-11-04",60
"2017-11-05",98
"2017-11-06",92
"2017-11-07",93
"2017-11-08",65
"2017-11-09",41
"2017-11-10",44
"2017-11-11",40
"2017-11-12",58
"2017-11-13",73
"2017-11-14",62
"2017-11-15",38
"2017-11-16",37
"2017-11-17",28
"2017-11-18",31
"2017-11-19",38
"2017-11-20",36
"2017-11-21",40
"2017-11-22",32
"2017-11-23",31
"2017-11-24",20
"2017-11-25",28
"2017-11-26",35
"2017-11-27",31
"2017-11-28",32
"2017-11-29",25
"2017-11-30",19
"2017-12-01",22
"2017-12-02",19
"2017-12-03",32
"2017-12-04",41
"2017-12-05",39
"2017-12-06",30
"2017-12-07",28
"2017-12-08",20
"2017-12-09",19
"2017-12-10",35
"2017-12-11",24
"2017-12-12",22
"2017-12-13",20
"2017-12-14",22
"2017-12-15",17
"2017-12-16",21
"2017-12-17",25
"2017-12-18",20
"2017-12-19",16
"2017-12-20",23
"2017-12-21",20
"2017-12-22",19
"2017-12-23",13
"2017-12-24",20
"2017-12-25",26
"2017-12-26",22
"2017-12-27",21
"2017-12-28",18
"2017-12-29",12
"2017-12-30",18
"2017-12-31",23
"2018-01-01",16
"2018-01-02",27
"2018-01-03",19
"2018-01-04",24
"2018-01-05",18
"2018-01-06",18
"2018-01-07",18
"2018-01-08",25
"2018-01-09",11
"2018-01-10",13
"2018-01-11",8
"2018-01-12",6
"2018-01-13",3
"2018-01-14",6
"2018-01-15",5
"2018-01-16",5
"2018-01-17",8
"2018-01-18",5
"2018-01-19",6
"2018-01-20",4
"2018-01-21",6
"2018-01-22",5
"2018-01-23",6
"2018-01-24",4
"2018-01-25",4
"2018-01-26",4
"2018-01-27",4
"2018-01-28",5
"2018-01-29",10
"2018-01-30",14
"2018-01-31",15
"2018-02-01",15
"2018-02-02",11
"2018-02-03",8
"2018-02-04",10
"2018-02-05",9
"2018-02-06",7
"2018-02-07",8
"2018-02-08",11
"2018-02-09",11
"2018-02-10",15
"2018-02-11",29
"2018-02-12",12
"2018-02-13",12
"2018-02-14",12
"2018-02-15",8
"2018-02-16",5
"2018-02-17",8
"2018-02-18",10
"2018-02-19",8
"2018-02-20",8
"2018-02-21",8
"2018-02-22",10
"2018-02-23",10
"2018-02-24",10
"2018-02-25",15
"2018-02-26",13
"2018-02-27",30
"2018-02-28",36
"2018-03-01",48
"2018-03-02",31
"2018-03-03",26
"2018-03-04",33
"2018-03-05",20
"2018-03-06",29
"2018-03-07",41
"2018-03-08",46
"2018-03-09",19
"2018-03-10",23
"2018-03-11",34
"2018-03-12",36
"2018-03-13",71
"2018-03-14",99
"2018-03-15",86
"2018-03-16",83
"2018-03-17",83
"2018-03-18",71
"2018-03-19",65
"2018-03-20",60
"2018-03-21",48
"2018-03-22",50
"2018-03-23",46
"2018-03-24",57
"2018-03-25",64
"2018-03-26",61
"2018-03-27",52
"2018-03-28",56
"2018-03-29",53
"2018-03-30",54
"2018-03-31",64
"2018-04-01",86
"2018-04-02",83
"2018-04-03",99
"2018-04-04",75
"2018-04-05",59
"2018-04-06",42
"2018-04-07",53
"2018-04-08",53
"2018-04-09",62
"2018-04-10",45
"2018-04-11",42
"2018-04-12",46
"2018-04-13",36
"2018-04-14",40
"2018-04-15",57
"2018-04-16",52
"2018-04-17",57
"2018-04-18",62
"2018-04-19",57
